ZCTA,ADI_NATRANK,ADI_STATERNK,ADI_QUINTILE
98219,67,67,4
98220,49,49,5
98221,38,38,1
98222,11,11,1
98223,60,60,5
98224,34,34,2
98225,82,82,3
98226,62,62,2
98227,88,88,1
98228,53,53,3
98229,76,76,3
98230,61,61,2
98231,38,38,3
98232,54,54,4
98233,29,29,3
98234,100,100,1
98235,47,47,3
98236,50,50,4
98237,59,59,4
98238,22,22,4
98239,83,83,1
98240,24,24,4
98241,18,18,4
98242,45,45,1
98243,18,18,3
98244,89,89,2
98245,44,44,4
98246,1,1,2
98247,54,54,3
98248,63,63,5
98249,39,39,4
98250,16,16,5
98251,47,47,5
98252,37,37,1
98253,25,25,4
98254,23,23,3
98255,53,53,5
98256,72,72,2
98257,61,61,5
98258,6,6,4
98259,65,65,4
98260,69,69,1
98261,84,84,1
98262,26,26,4
98263,48,48,1
98264,64,64,5
98265,36,36,1
98266,63,63,4
98267,49,49,2
98268,28,28,4
98269,30,30,4
98270,81,81,2
98271,25,25,1
98272,20,20,1
98273,58,58,3
98274,49,49,3
98275,17,17,4
98276,37,37,3
98277,29,29,3
98278,33,33,2
98279,100,100,1
98280,42,42,2
98281,27,27,5
98282,100,100,5
98283,72,72,2
98284,68,68,3
98285,29,29,5
98286,79,79,3
98287,70,70,1
98288,53,53,1
98289,7,7,3
98290,49,49,5
98291,93,93,4
98292,55,55,1
98293,40,40,1
98294,44,44,4
98295,46,46,5
98296,30,30,4
98297,48,48,4
98298,86,86,1
98299,83,83,5
98300,31,31,4
98301,81,81,2
98302,69,69,4
98303,65,65,2
98304,60,60,1
98305,26,26,2
98306,39,39,1
98307,70,70,2
98308,19,19,3
98309,23,23,3
98310,57,57,3
98311,30,30,2
98312,70,70,1
98313,31,31,4
98314,56,56,2
98315,58,58,2
98316,37,37,5
98317,44,44,4
98318,32,32,5
98319,49,49,3
98320,25,25,1
98321,44,44,4
98322,68,68,2
98323,21,21,3
98324,37,37,1
98325,62,62,5
98326,1,1,1
98327,96,96,5
98328,76,76,5
98329,11,11,3
98330,1,1,4
98331,50,50,4
98332,21,21,5
98333,74,74,3
98334,59,59,4
98335,53,53,3
98336,35,35,5
98337,90,90,3
98338,68,68,3
98339,65,65,4
98340,80,80,5
98341,24,24,3
98342,82,82,1
98343,43,43,3
98344,58,58,5
98345,46,46,4
98346,3,3,5
98347,73,73,1
98348,4,4,3
98349,25,25,4
98350,38,38,5
98351,1,1,1
98352,22,22,5
98353,56,56,3
98354,41,41,1
98355,43,43,2
98356,27,27,2
98357,51,51,3
98358,41,41,1
98359,8,8,1
98360,44,44,5
98361,18,18,1
98362,72,72,2
98363,40,40,3
98364,100,100,3
98365,74,74,4
98366,46,46,3
98367,64,64,4
98368,1,1,4
98369,74,74,1
98370,29,29,1
98371,52,52,3
98372,31,31,2
98373,34,34,4
98374,45,45,3
98375,51,51,2
98376,49,49,1
98377,49,49,2
98378,9,9,3
98379,100,100,3
98380,55,55,3
98381,60,60,1
98382,41,41,4
98383,28,28,5
98384,53,53,2
98385,57,57,3
98386,82,82,5
98387,100,100,2
98388,86,86,3
98389,5,5,1
98390,38,38,4
98391,58,58,1
98392,39,39,5
98393,48,48,4
98394,1,1,4
98395,72,72,4
98396,3,3,3
98397,10,10,3
98398,24,24,5
98399,47,47,5
98400,9,9,3
98401,23,23,5
98402,78,78,3
98403,47,47,3
98404,60,60,3
98405,19,19,2
98406,48,48,1
98407,46,46,2
98408,30,30,3
98409,48,48,2
98410,2,2,3
98411,60,60,5
98412,40,40,2
98413,43,43,3
98414,71,71,1
98415,60,60,1
98416,42,42,4
98417,22,22,3
98418,83,83,4
98419,16,16,1
98420,65,65,3
98421,10,10,2
98422,72,72,2
98423,75,75,1
98424,2,2,1
98425,61,61,2
98426,59,59,1
98427,67,67,5
98428,59,59,2
98429,25,25,1
98430,44,44,1
98431,91,91,3
98432,22,22,1
98433,58,58,5
98434,78,78,5
98435,25,25,2
98436,14,14,3
98437,18,18,1
98438,59,59,4
98439,18,18,3
98440,46,46,2
98441,84,84,2
98442,48,48,4
98443,30,30,3
98444,53,53,1
98445,48,48,4
98446,61,61,3
98447,90,90,5
98448,59,59,1
98449,100,100,4
98450,61,61,4
98451,30,30,1
98452,100,100,4
98453,46,46,3
98454,23,23,5
98455,100,100,1
98456,31,31,4
98457,30,30,2
98458,36,36,5
98459,54,54,2
98460,73,73,5
98461,1,1,5
98462,73,73,2
98463,36,36,5
98464,39,39,5
98465,92,92,2
98466,55,55,3
98467,61,61,3
98468,48,48,2
98469,69,69,1
98470,90,90,2
98471,1,1,2
98472,77,77,3
98473,88,88,1
98474,62,62,5
98475,33,33,4
98476,21,21,1
98477,100,100,4
98478,27,27,4
98479,87,87,5
98480,59,59,1
98481,100,100,2
98482,42,42,5
98483,9,9,5
98484,50,50,4
98485,12,12,4
98486,100,100,1
98487,65,65,3
98488,69,69,2
98489,69,69,1
98490,32,32,5
98491,46,46,1
98492,52,52,3
98493,98,98,5
98494,21,21,1
98495,31,31,5
98496,40,40,5
98497,33,33,3
98498,13,13,1
98499,1,1,2
98500,4,4,3
98501,77,77,2
98502,49,49,2
98503,70,70,5
98504,35,35,1
98505,47,47,4
98506,90,90,1
98507,88,88,3
98508,73,73,5
98509,55,55,2
98510,62,62,1
98511,59,59,4
98512,45,45,4
98513,39,39,4
98514,78,78,2
98515,17,17,2
98516,87,87,5
98517,43,43,5
98518,17,17,3
98519,36,36,5
98520,28,28,3
98521,35,35,3
98522,35,35,1
98523,34,34,3
98524,42,42,3
98525,48,48,1
98526,69,69,3
98527,43,43,4
98528,58,58,4
98529,50,50,4
98530,63,63,5
98531,51,51,1
98532,33,33,3
98533,27,27,4
98534,55,55,3
98535,81,81,2
98536,44,44,1
98537,32,32,5
98538,43,43,3
98539,35,35,5
98540,33,33,3
98541,13,13,4
98542,43,43,5
98543,55,55,4
98544,22,22,2
98545,28,28,3
98546,26,26,5
98547,15,15,2
98548,26,26,2
98549,45,45,1
98550,16,16,5
98551,46,46,1
98552,32,32,4
98553,26,26,3
98554,59,59,3
98555,33,33,4
98556,38,38,1
98557,82,82,3
98558,26,26,4
98559,89,89,5
98560,41,41,1
98561,21,21,5
98562,36,36,4
98563,51,51,5
98564,81,81,3
98565,69,69,3
98566,51,51,5
98567,81,81,5
98568,2,2,3
98569,56,56,2
98570,57,57,2
98571,58,58,2
98572,9,9,2
98573,24,24,2
98574,45,45,5
98575,77,77,1
98576,97,97,4
98577,33,33,1
98578,17,17,2
98579,70,70,1
98580,100,100,2
98581,77,77,4
98582,31,31,5
98583,100,100,2
98584,67,67,3
98585,30,30,3
98586,98,98,5
98587,28,28,4
98588,34,34,3
98589,68,68,4
98590,49,49,5
98591,50,50,1
98592,50,50,3
98593,77,77,5
98594,1,1,4
98595,57,57,3
98596,42,42,3
98597,31,31,2
98598,31,31,3
98599,1,1,4
98600,30,30,3
98601,82,82,4
98602,70,70,5
98603,45,45,1
98604,14,14,3
98605,70,70,3
98606,82,82,4
98607,75,75,2
98608,25,25,4
98609,28,28,5
98610,91,91,3
98611,19,19,5
98612,61,61,5
98613,5,5,1
98614,42,42,2
98615,64,64,5
98616,49,49,5
98617,63,63,1
98618,19,19,1
98619,29,29,1
98620,62,62,5
98621,67,67,1
98622,55,55,3
98623,73,73,5
98624,8,8,1
98625,38,38,4
98626,95,95,2
98627,82,82,5
98628,65,65,2
98629,46,46,4
98630,75,75,4
98631,60,60,2
98632,12,12,1
98633,74,74,3
98634,28,28,2
98635,68,68,5
98636,9,9,5
98637,89,89,3
98638,43,43,4
98639,22,22,4
98640,32,32,5
98641,41,41,3
98642,49,49,2
98643,82,82,2
98644,51,51,3
98645,1,1,3
98646,19,19,3
98647,100,100,1
98648,53,53,4
98649,73,73,2
98650,42,42,1
98651,24,24,3
98652,37,37,2
98653,53,53,3
98654,38,38,2
98655,97,97,3
98656,34,34,3
98657,23,23,2
98658,70,70,1
98659,73,73,5
98660,50,50,3
98661,34,34,3
98662,2,2,1
98663,80,80,3
98664,71,71,3
98665,39,39,3
98666,51,51,4
98667,44,44,1
98668,90,90,2
98669,24,24,5
98670,34,34,5
98671,32,32,1
98672,57,57,3
98673,51,51,2
98674,55,55,1
98675,27,27,2
98676,87,87,1
98677,38,38,4
98678,79,79,3
98679,100,100,1
98680,28,28,1
98681,58,58,5
98682,46,46,1
98683,100,100,4
98684,42,42,2
98685,56,56,3
98686,55,55,2
98687,47,47,1
98688,68,68,2
98689,52,52,1
98690,62,62,3
98691,55,55,4
98692,34,34,2
98693,43,43,1
98694,63,63,3
98695,63,63,4
98696,81,81,5
98697,96,96,3
98698,36,36,3
98699,53,53,3
98700,45,45,5
98701,22,22,5
98702,64,64,2
98703,69,69,2
98704,23,23,2
98705,40,40,3
98706,38,38,4
98707,12,12,3
98708,49,49,1
98709,21,21,4
98710,53,53,5
98711,56,56,2
98712,59,59,4
98713,61,61,3
98714,88,88,5
98715,29,29,5
98716,31,31,3
98717,66,66,4
98718,46,46,5
98719,78,78,3
98720,64,64,2
98721,97,97,4
98722,47,47,2
98723,12,12,2
98724,58,58,5
98725,48,48,4
98726,63,63,3
98727,66,66,2
98728,36,36,2
98729,24,24,2
98730,46,46,1
98731,1,1,4
98732,52,52,2
98733,39,39,3
98734,71,71,2
98735,1,1,5
98736,50,50,2
98737,89,89,1
98738,66,66,1
98739,74,74,3
98740,58,58,3
98741,8,8,3
98742,54,54,3
98743,60,60,1
98744,23,23,3
98745,46,46,3
98746,1,1,1
98747,41,41,1
98748,39,39,1
98749,85,85,1
98750,34,34,4
98751,43,43,1
98752,48,48,2
98753,35,35,1
98754,67,67,5
98755,1,1,5
98756,78,78,2
98757,49,49,2
98758,82,82,2
98759,1,1,3
98760,1,1,1
98761,42,42,4
98762,62,62,3
98763,36,36,5
98764,64,64,1
98765,74,74,5
98766,66,66,4
98767,52,52,1
98768,52,52,2
98769,34,34,1
98770,48,48,2
98771,24,24,2
98772,30,30,3
98773,62,62,3
98774,38,38,5
98775,31,31,1
98776,61,61,5
98777,59,59,2
98778,44,44,4
98779,46,46,2
98780,60,60,1
98781,74,74,5
98782,55,55,2
98783,20,20,4
98784,44,44,3
98785,39,39,3
98786,23,23,3
98787,62,62,4
98788,64,64,1
98789,68,68,4
98790,25,25,5
98791,53,53,1
98792,49,49,1
98793,57,57,4
98794,53,53,3
98795,49,49,3
98796,46,46,1
98797,77,77,3
98798,28,28,1
98799,45,45,3
98800,77,77,4
98801,29,29,2
98802,30,30,3
98803,68,68,5
98804,14,14,4
98805,66,66,5
98806,37,37,3
98807,60,60,4
98808,19,19,1
98809,79,79,1
98810,19,19,2
98811,68,68,3
98812,20,20,5
98813,95,95,2
98814,48,48,4
98815,98,98,4
98816,29,29,3
98817,38,38,2
98818,80,80,3
98819,14,14,2
98820,32,32,1
98821,62,62,5
98822,24,24,1
98823,63,63,1
98824,54,54,5
98825,12,12,2
98826,74,74,4
98827,18,18,2
98828,69,69,2
98829,53,53,2
98830,38,38,2
98831,22,22,3
98832,58,58,4
98833,28,28,3
98834,80,80,5
98835,81,81,1
98836,91,91,3
98837,57,57,3
98838,39,39,5
98839,42,42,1
98840,40,40,3
98841,56,56,5
98842,60,60,2
98843,80,80,5
98844,50,50,1
98845,14,14,4
98846,39,39,5
98847,88,88,4
98848,11,11,3
98849,68,68,1
98850,40,40,5
98851,27,27,3
98852,59,59,1
98853,89,89,4
98854,58,58,3
98855,43,43,1
98856,17,17,2
98857,47,47,1
98858,16,16,3
98859,42,42,4
98860,48,48,3
98861,1,1,5
98862,84,84,5
98863,19,19,4
98864,45,45,1
98865,63,63,4
98866,82,82,3
98867,30,30,3
98868,1,1,4
98869,76,76,2
98870,18,18,5
98871,58,58,1
98872,60,60,4
98873,1,1,1
98874,9,9,5
98875,38,38,1
98876,1,1,1
98877,16,16,2
98878,53,53,2
98879,47,47,2
98880,57,57,3
98881,61,61,3
98882,7,7,1
98883,17,17,2
98884,69,69,5
98885,88,88,4
98886,25,25,4
98887,56,56,4
98888,70,70,2
98889,55,55,1
98890,43,43,2
98891,33,33,5
98892,99,99,5
98893,52,52,3
98894,59,59,1
98895,58,58,1
98896,29,29,2
98897,51,51,3
98898,41,41,1
98899,41,41,5
98900,57,57,2
98901,27,27,5
98902,19,19,4
98903,62,62,4
98904,36,36,4
98905,41,41,4
98906,1,1,4
98907,74,74,4
98908,63,63,3
98909,67,67,5
98910,59,59,4
98911,12,12,4
98912,55,55,5
98913,34,34,2
98914,25,25,1
98915,62,62,3
98916,91,91,3
98917,87,87,5
98918,65,65,3
98919,49,49,3
98920,44,44,3
98921,27,27,1
98922,43,43,4
98923,72,72,5
98924,95,95,1
98925,29,29,3
98926,1,1,3
98927,36,36,1
98928,72,72,1
98929,100,100,5
98930,82,82,2
98931,82,82,2
98932,28,28,1
98933,29,29,4
98934,16,16,4
98935,33,33,4
98936,72,72,1
98937,90,90,5
98938,58,58,2
98939,43,43,2
98940,23,23,3
98941,47,47,2
98942,55,55,5
98943,13,13,5
98944,73,73,2
98945,39,39,5
98946,71,71,4
98947,49,49,5
98948,57,57,2
98949,32,32,3
98950,41,41,2
98951,66,66,5
98952,46,46,1
98953,22,22,3
98954,52,52,2
98955,59,59,2
98956,84,84,4
98957,78,78,5
98958,48,48,4
98959,36,36,5
98960,44,44,2
98961,36,36,3
98962,62,62,3
98963,76,76,1
98964,80,80,3
98965,39,39,4
98966,37,37,3
98967,39,39,4
98968,1,1,3
98969,19,19,1
98970,49,49,1
98971,59,59,3
98972,62,62,2
98973,30,30,1
98974,37,37,3
98975,43,43,3
98976,40,40,2
98977,67,67,4
98978,17,17,4
98979,21,21,2
98980,42,42,4
98981,15,15,4
98982,2,2,4
98983,12,12,3
98984,43,43,1
98985,65,65,4
98986,66,66,2
98987,89,89,5
98988,52,52,5
98989,55,55,3
98990,43,43,2
98991,44,44,2
98992,100,100,2
98993,56,56,3
98994,58,58,2
98995,21,21,3
98996,60,60,1
98997,66,66,5
98998,77,77,1
98999,65,65,5
99000,46,46,5
99001,45,45,3
99002,48,48,4
99003,52,52,3
99004,81,81,4
99005,76,76,2
99006,68,68,2
99007,100,100,3
99008,1,1,3
99009,38,38,3
99010,49,49,2
99011,33,33,2
99012,26,26,1
99013,7,7,1
99014,42,42,2
99015,72,72,1
99016,69,69,1
99017,31,31,5
99018,55,55,1
99019,83,83,4
99020,11,11,2
99021,46,46,5
99022,57,57,3
99023,50,50,2
99024,71,71,3
99025,12,12,2
99026,24,24,3
99027,67,67,1
99028,7,7,5
99029,70,70,3
99030,61,61,2
99031,68,68,4
99032,38,38,2
99033,62,62,5
99034,20,20,3
99035,39,39,4
99036,50,50,1
99037,27,27,5
99038,55,55,4
99039,21,21,2
99040,56,56,1
99041,93,93,2
99042,18,18,5
99043,49,49,2
99044,9,9,3
99045,29,29,1
99046,67,67,2
99047,39,39,3
99048,68,68,5
99049,58,58,3
99050,48,48,5
99051,24,24,3
99052,67,67,1
99053,57,57,2
99054,11,11,3
99055,25,25,5
99056,1,1,5
99057,15,15,2
99058,42,42,2
99059,23,23,2
99060,29,29,5
99061,84,84,5
99062,75,75,4
99063,32,32,2
99064,69,69,3
99065,80,80,3
99066,65,65,2
99067,57,57,3
99068,77,77,1
99069,69,69,1
99070,19,19,5
99071,45,45,4
99072,36,36,3
99073,78,78,3
99074,35,35,2
99075,31,31,4
99076,75,75,4
99077,56,56,4
99078,100,100,4
99079,28,28,2
99080,37,37,2
99081,78,78,3
99082,18,18,2
99083,82,82,4
99084,19,19,2
99085,65,65,1
99086,3,3,2
99087,51,51,5
99088,15,15,2
99089,98,98,4
99090,23,23,3
99091,29,29,1
99092,63,63,3
99093,34,34,4
99094,67,67,3
99095,32,32,5
99096,30,30,2
99097,49,49,1
99098,19,19,5
99099,59,59,2
99100,71,71,3
99101,63,63,4
99102,66,66,2
99103,1,1,4
99104,38,38,1
99105,44,44,2
99106,86,86,1
99107,35,35,5
99108,1,1,2
99109,24,24,4
99110,33,33,5
99111,1,1,3
99112,74,74,3
99113,10,10,3
99114,61,61,2
99115,22,22,3
99116,87,87,4
99117,43,43,5
99118,38,38,5
99119,63,63,5
99120,24,24,5
99121,64,64,3
99122,37,37,4
99123,35,35,5
99124,47,47,2
99125,22,22,5
99126,45,45,3
99127,58,58,4
99128,1,1,4
99129,77,77,5
99130,70,70,2
99131,3,3,4
99132,1,1,3
99133,71,71,2
99134,69,69,4
99135,65,65,3
99136,14,14,4
99137,95,95,2
99138,31,31,3
99139,55,55,4
99140,56,56,3
99141,89,89,1
99142,53,53,5
99143,60,60,3
99144,48,48,4
99145,20,20,3
99146,1,1,2
99147,50,50,3
99148,14,14,3
99149,58,58,3
99150,53,53,3
99151,53,53,3
99152,23,23,1
99153,75,75,3
99154,61,61,1
99155,20,20,1
99156,100,100,5
99157,44,44,4
99158,16,16,4
99159,31,31,3
99160,12,12,5
99161,83,83,4
99162,77,77,4
99163,68,68,2
99164,63,63,5
99165,81,81,5
99166,43,43,5
99167,60,60,1
99168,29,29,2
99169,46,46,2
99170,61,61,2
99171,1,1,5
99172,34,34,1
99173,54,54,1
99174,48,48,2
99175,38,38,1
99176,64,64,2
99177,32,32,4
99178,19,19,3
99179,79,79,1
99180,76,76,3
99181,35,35,3
99182,48,48,1
99183,71,71,4
99184,51,51,4
99185,63,63,4
99186,61,61,4
99187,42,42,1
99188,62,62,5
99189,25,25,5
99190,59,59,5
99191,48,48,1
99192,40,40,5
99193,18,18,5
99194,53,53,5
99195,50,50,1
99196,29,29,4
99197,10,10,5
99198,8,8,4
99199,43,43,3
99200,57,57,5
99201,96,96,3
99202,48,48,3
99203,9,9,3
99204,44,44,5
99205,81,81,1
99206,32,32,3
99207,77,77,4
99208,54,54,4
99209,66,66,3
99210,96,96,5
99211,4,4,5
99212,72,72,1
99213,47,47,3
99214,26,26,1
99215,47,47,2
99216,92,92,3
99217,83,83,5
99218,1,1,5
99219,30,30,1
99220,73,73,1
99221,49,49,3
99222,49,49,3
99223,10,10,2
99224,31,31,5
99225,16,16,5
99226,8,8,3
99227,18,18,5
99228,26,26,2
99229,30,30,4
99230,28,28,3
99231,75,75,1
99232,27,27,5
99233,85,85,3
99234,37,37,4
99235,60,60,2
99236,61,61,1
99237,27,27,1
99238,41,41,3
99239,37,37,4
99240,59,59,2
99241,46,46,4
99242,31,31,4
99243,52,52,4
99244,58,58,3
99245,96,96,5
99246,51,51,3
99247,50,50,3
99248,60,60,1
99249,26,26,2
99250,6,6,1
99251,42,42,4
99252,76,76,2
99253,80,80,2
99254,3,3,4
99255,66,66,2
99256,1,1,2
99257,61,61,1
99258,59,59,4
99259,6,6,1
99260,75,75,3
99261,93,93,3
99262,48,48,4
99263,53,53,4
99264,86,86,5
99265,21,21,1
99266,22,22,2
99267,29,29,2
99268,50,50,1
99269,50,50,2
99270,36,36,2
99271,42,42,3
99272,36,36,4
99273,37,37,2
99274,30,30,4
99275,30,30,2
99276,1,1,2
99277,44,44,3
99278,1,1,1
99279,68,68,1
99280,36,36,3
99281,47,47,5
99282,40,40,4
99283,43,43,1
99284,81,81,5
99285,16,16,4
99286,9,9,4
99287,52,52,5
99288,37,37,3
99289,58,58,2
99290,67,67,3
99291,22,22,3
99292,65,65,3
99293,24,24,3
99294,51,51,5
99295,19,19,5
99296,53,53,5
99297,49,49,5
99298,22,22,5
99299,16,16,1
99300,68,68,2
99301,38,38,3
99302,75,75,5
99303,36,36,3
99304,82,82,4
99305,26,26,1
99306,86,86,2
99307,54,54,4
99308,59,59,1
99309,24,24,2
99310,68,68,2
99311,69,69,2
99312,41,41,4
99313,1,1,2
99314,22,22,3
99315,22,22,1
99316,61,61,5
99317,38,38,2
99318,38,38,4
99319,35,35,4
99320,86,86,2
99321,51,51,5
99322,54,54,4
99323,34,34,3
99324,49,49,1
99325,25,25,5
99326,58,58,4
99327,21,21,2
99328,68,68,2
99329,31,31,5
99330,73,73,4
99331,97,97,4
99332,50,50,3
99333,82,82,4
99334,68,68,2
99335,14,14,2
99336,52,52,4
99337,62,62,5
99338,64,64,2
99339,54,54,3
99340,54,54,4
99341,50,50,3
99342,53,53,5
99343,19,19,4
99344,44,44,1
99345,13,13,5
99346,37,37,4
99347,35,35,5
99348,33,33,4
99349,23,23,5
99350,56,56,1
99351,42,42,2
99352,39,39,5
99353,14,14,2
99354,42,42,1
99355,78,78,4
99356,79,79,5
99357,59,59,1
99358,42,42,5
99359,63,63,4
99360,33,33,3
99361,42,42,5
99362,31,31,3
99363,72,72,1
99364,69,69,2
99365,49,49,3
99366,93,93,3
99367,60,60,5
99368,58,58,4
99369,56,56,3
99370,18,18,4
99371,27,27,1
99372,48,48,1
99373,48,48,5
99374,64,64,1
99375,33,33,2
99376,51,51,4
99377,52,52,3
99378,53,53,5
99379,50,50,2
99380,14,14,1
99381,1,1,2
99382,26,26,3
99383,36,36,2
99384,20,20,3
99385,48,48,5
99386,77,77,5
99387,68,68,2
99388,61,61,3
99389,74,74,3
99390,26,26,5
99391,38,38,5
99392,65,65,2
99393,38,38,4
99394,39,39,2
99395,96,96,1
99396,52,52,1
99397,94,94,3
99398,4,4,3
99399,34,34,1
99400,60,60,4
99401,52,52,2
99402,1,1,3
99403,44,44,2
99404,100,100,1
99405,56,56,3
99406,65,65,2
99407,33,33,3
99408,56,56,1
99409,49,49,3
99410,77,77,1
99411,77,77,4
99412,60,60,4
99413,51,51,1
99414,8,8,3
99415,7,7,1
99416,52,52,3
99417,71,71,2
99418,83,83,3
99419,27,27,3
99420,12,12,5
99421,73,73,3
99422,29,29,3
99423,10,10,3
99424,37,37,5
99425,37,37,4
99426,83,83,2
99427,71,71,5
99428,31,31,3
99429,84,84,5
99430,53,53,5
99431,76,76,1
99432,83,83,4
99433,43,43,2
99434,64,64,2
99435,39,39,2
99436,73,73,4
99437,52,52,2
99438,74,74,1
99439,88,88,4
99440,63,63,1
99441,47,47,1
99442,48,48,2
99443,1,1,2
99444,32,32,3
99445,73,73,1
99446,74,74,5
99447,31,31,4
99448,54,54,2
99449,45,45,2
99450,67,67,3
99451,100,100,4
99452,67,67,1
99453,33,33,1
99454,48,48,5
99455,85,85,2
99456,14,14,2
99457,34,34,5
99458,67,67,4
99459,82,82,2
99460,65,65,4
99461,34,34,1
99462,63,63,4
99463,60,60,3
99464,58,58,5
99465,47,47,5
99466,51,51,5
99467,27,27,5
99468,100,100,3
99469,53,53,2
99470,63,63,3
99471,44,44,4
99472,71,71,5
99473,17,17,2
99474,6,6,5
99475,49,49,5
99476,100,100,5
99477,80,80,5
99478,29,29,2
99479,62,62,1
99480,34,34,1
99481,60,60,2
99482,62,62,4
99483,73,73,5
99484,10,10,5
99485,18,18,4
99486,48,48,1
99487,24,24,1
99488,22,22,1
99489,56,56,2
99490,27,27,3
99491,100,100,1
99492,36,36,2
99493,43,43,1
99494,57,57,4
99495,12,12,3
99496,62,62,3
99497,58,58,3
99498,41,41,5
99499,56,56,2
99500,60,60,3
99501,85,85,4
99502,100,100,3
99503,23,23,5
99504,17,17,2
99505,52,52,3
99506,1,1,1
99507,66,66,4
99508,52,52,2
99509,59,59,1
99510,42,42,3
99511,56,56,3
99512,61,61,1
99513,55,55,4
99514,16,16,4
99515,54,54,1
99516,96,96,3
99517,56,56,4
99518,53,53,3
99519,89,89,2
99520,31,31,2
99521,72,72,4
99522,36,36,5
99523,77,77,4
99524,69,69,1
99525,39,39,3
99526,43,43,5
99527,74,74,1
99528,3,3,5
99529,38,38,5
99530,65,65,1
99531,42,42,5
99532,53,53,2
99533,1,1,5
99534,28,28,3
99535,66,66,3
99536,31,31,4
99537,17,17,4
99538,76,76,1
99539,62,62,3
99540,22,22,1
99541,53,53,2
99542,23,23,2
99543,46,46,3
99544,54,54,2
99545,29,29,1
99546,68,68,1
99547,72,72,1
99548,56,56,3
99549,60,60,5
99550,13,13,1
99551,84,84,5
99552,47,47,4
99553,26,26,4
99554,53,53,4
99555,68,68,5
99556,62,62,1
99557,22,22,3
99558,68,68,4
99559,48,48,3
99560,62,62,5
99561,29,29,1
99562,76,76,4
99563,54,54,3
99564,79,79,2
99565,11,11,2
99566,14,14,4
99567,43,43,5
99568,86,86,3
99569,99,99,5
99570,27,27,3
99571,51,51,1
99572,53,53,1
99573,67,67,1
99574,72,72,2
99575,22,22,2
99576,51,51,4
99577,1,1,4
99578,70,70,1
99579,41,41,2
99580,19,19,2
99581,58,58,3
99582,40,40,1
99583,81,81,1
99584,27,27,5
99585,100,100,5
99586,71,71,1
99587,82,82,3
99588,24,24,2
99589,94,94,4
99590,19,19,3
99591,44,44,1
99592,82,82,4
99593,62,62,2
99594,19,19,2
99595,78,78,2
99596,58,58,3
99597,39,39,2
99598,11,11,2
99599,60,60,2
99600,45,45,1
99601,53,53,4
99602,10,10,1
99603,39,39,1
99604,62,62,4
99605,96,96,4
99606,44,44,5
99607,86,86,3
99608,69,69,2
99609,55,55,4
99610,24,24,4
99611,25,25,2
99612,65,65,5
99613,36,36,1
99614,34,34,5
99615,45,45,5
99616,45,45,4
99617,72,72,5
99618,37,37,4
99619,70,70,1
99620,60,60,3
99621,8,8,1
99622,57,57,2
99623,1,1,4
99624,27,27,2
99625,61,61,2
99626,49,49,3
99627,5,5,5
99628,22,22,1
99629,1,1,2
99630,16,16,1
99631,64,64,4
99632,36,36,1
99633,54,54,4
99634,50,50,2
99635,50,50,1
99636,75,75,5
99637,44,44,1
99638,72,72,3
99639,1,1,1
99640,77,77,3
99641,17,17,3
99642,23,23,2
99643,32,32,1
99644,77,77,2
99645,27,27,4
99646,33,33,4
99647,25,25,3
99648,56,56,3
99649,68,68,2
99650,92,92,2
99651,100,100,1
99652,66,66,2
99653,59,59,2
99654,19,19,3
99655,97,97,3
99656,55,55,5
99657,42,42,1
99658,59,59,4
99659,34,34,5
99660,1,1,3
99661,64,64,2
99662,83,83,2
99663,63,63,1
99664,49,49,2
99665,50,50,4
99666,54,54,1
99667,53,53,2
99668,48,48,4
99669,50,50,4
99670,88,88,3
99671,61,61,4
99672,52,52,2
99673,66,66,1
99674,66,66,2
99675,73,73,3
99676,31,31,5
99677,37,37,1
99678,29,29,3
99679,69,69,2
99680,67,67,3
99681,18,18,1
99682,59,59,2
99683,84,84,5
99684,44,44,3
99685,57,57,3
99686,68,68,2
99687,16,16,2
99688,53,53,2
99689,81,81,5
99690,35,35,5
99691,70,70,3
99692,50,50,2
99693,33,33,5
99694,47,47,3
99695,36,36,3
99696,27,27,2
99697,43,43,4
99698,51,51,3
99699,45,45,5
99700,43,43,4
99701,55,55,2
99702,63,63,4
99703,21,21,5
99704,43,43,2
99705,1,1,1
99706,45,45,1
99707,53,53,3
99708,64,64,2
99709,53,53,3
99710,63,63,1
99711,51,51,5
99712,33,33,2
99713,22,22,2
99714,43,43,3
99715,30,30,3
99716,47,47,2
99717,37,37,2
99718,60,60,1
99719,51,51,4
99720,61,61,4
99721,61,61,3
99722,45,45,4
99723,47,47,4
99724,62,62,1
99725,100,100,5
99726,25,25,5
99727,51,51,2
99728,20,20,1
99729,49,49,1
99730,33,33,1
99731,47,47,4
99732,53,53,3
99733,37,37,4
99734,5,5,4
99735,85,85,4
99736,70,70,4
99737,46,46,1
99738,27,27,2
99739,52,52,4
99740,59,59,1
99741,69,69,1
99742,71,71,5
99743,76,76,4
99744,6,6,2
99745,42,42,4
99746,74,74,4
99747,26,26,2
99748,80,80,1
99749,95,95,5
99750,79,79,2
99751,66,66,1
99752,38,38,3
99753,57,57,4
99754,16,16,2
99755,30,30,2
99756,32,32,2
99757,51,51,5
99758,40,40,1
99759,56,56,3
99760,71,71,5
99761,32,32,1
99762,53,53,5
99763,39,39,5
99764,54,54,5
99765,67,67,2
99766,73,73,4
99767,66,66,4
99768,60,60,5
99769,14,14,1
